user_id,ros_1,ros_2,ros_3,ros_4,ros_5,ros_6,ros_7,ros_8,ros_9,ros_10
3334247770,2,2,3,2,3,2,2,1,2,2
3294886377,1,1,4,2,4,2,2,2,3,4
3487119790,2,2,3,2,2,2,2,2,2,2
3346121179,3,2,2,3,2,3,3,1,1,2
3703107268,2,2,4,2,3,3,2,2,1,2
3208909600,2,2,3,2,2,3,3,2,3,3
3317719173,2,3,2,2,3,4,4,1,2,2
3920062595,1,1,4,2,2,2,2,1,3,3
3337769377,2,2,3,2,2,2,3,2,2,2
3278582193,2,2,3,2,3,2,3,2,2,2
3703293103,2,2,3,2,3,2,2,1,3,3
3331208683,1,1,4,1,4,1,1,3,4,4
3444258212,1,1,4,1,4,1,1,4,3,4
3890065938,3,3,2,3,2,4,4,2,2,1
3469730627,1,1,4,1,3,1,2,2,3,4
3311128391,2,2,4,2,4,2,1,3,3,4
3270624644,2,2,3,2,3,2,2,1,2,2
3280632529,3,3,2,3,1,3,4,2,1,1
3313382094,2,2,3,1,4,2,1,1,3,2
3460591283,2,3,2,2,2,3,3,1,1,1
3809075395,2,2,3,2,3,2,3,2,3,3
3332440775,2,2,3,2,2,3,2,2,2,3
3398964382,1,2,4,2,4,1,1,4,4,4
3348106800,2,1,4,1,4,2,1,3,4,3
3469464166,3,2,2,2,2,3,2,1,2,2
3392465292,2,2,3,2,3,3,2,1,2,2
3335607912,2,3,2,2,2,4,4,1,1,1
3669301160,2,2,4,2,3,2,2,3,3,3
3314455802,2,2,3,2,3,3,2,2,3,3
3336846971,3,1,3,2,3,2,2,2,2,3
3296113480,2,3,3,2,2,2,3,1,2,1
3921981520,2,2,2,2,2,3,3,1,1,4
3334741408,2,2,3,2,3,3,2,2,2,2
3665355105,1,1,4,1,4,2,2,1,2,3
3420798804,2,2,3,2,2,3,3,2,4,3
3383061603,1,1,4,1,4,2,1,3,4,4
3662125608,2,2,4,1,3,3,2,2,3,2
3392736399,1,2,4,2,4,1,2,2,3,3
3493224825,1,1,4,1,4,1,1,4,4,4
3246292649,2,2,3,2,2,3,2,1,1,1
3665244090,2,2,3,3,3,2,3,2,2,2
3389126365,2,2,3,2,2,2,3,1,2,3
3938867612,2,3,3,2,3,3,2,2,1,2
3407230127,2,2,4,2,4,2,2,1,3,3
3895730674,3,3,2,2,2,2,3,2,2,1
3663738920,2,2,1,3,1,4,3,1,1,1
3888185906,1,1,4,2,3,1,1,3,3,3
3395927320,3,2,3,2,3,2,2,3,2,3
3491070201,2,2,3,2,3,1,1,2,3,3
3334297641,1,1,4,1,4,1,1,3,4,4
3925598264,2,3,3,2,2,3,3,2,2,2
3331478533,3,2,2,3,2,3,3,2,1,1
3888281971,1,1,3,2,4,2,2,2,2,3
3421895411,1,1,4,1,4,1,1,3,2,2
3467014707,2,2,3,2,3,2,2,2,3,3
3277379787,1,2,3,1,4,1,1,4,4,4
3920884364,1,2,3,2,3,2,2,2,2,3
3662258943,2,2,4,1,1,1,1,1,3,4
3311506647,3,3,3,2,3,3,2,1,1,1
3928102467,1,1,4,1,4,2,2,3,3,4
3348921243,2,2,3,1,1,1,1,1,3,3
3423315515,1,2,4,2,3,2,2,1,2,3
3475648095,3,2,2,3,3,3,3,2,2,2
3318207859,2,3,2,2,2,3,2,2,3,3
3394341908,1,2,4,2,4,1,1,4,2,3
3490815665,2,2,4,1,3,2,2,1,2,3
3271273161,2,1,4,2,4,1,1,3,3,3
3493727344,1,1,4,1,4,2,2,3,3,3
3492432569,3,2,3,3,2,3,3,2,1,2
3311815277,3,2,2,3,3,3,2,2,1,2
3662895706,2,3,3,2,2,3,3,2,2,2
3669722811,2,2,3,2,2,3,3,1,2,3
3806823362,2,2,4,2,3,2,2,2,3,3
3703258744,2,2,3,2,3,3,3,1,2,2
3385930632,3,2,2,2,2,2,2,1,2,2
3467474349,2,2,3,2,3,2,2,1,2,3
3668615349,2,2,4,2,4,2,2,3,4,4
3493200977,1,1,3,1,3,2,2,2,3,3
3779569933,1,2,4,2,3,2,1,3,1,4
3887744678,3,2,3,2,3,3,2,1,1,1
3383928947,1,1,3,1,4,2,2,3,3,4
3472369691,3,2,2,3,2,3,2,2,2,2
3663995281,2,2,3,2,3,2,2,2,2,2
3313450012,2,2,3,2,3,2,2,2,3,2
3349104292,1,1,4,1,4,2,2,2,4,4
3895555996,2,2,4,2,3,3,2,1,2,3
3883816051,2,2,4,2,4,2,2,2,2,2
3477588121,2,3,3,2,2,2,3,3,3,3
3421018235,3,2,3,2,3,2,2,2,2,2
3280004109,1,2,3,2,4,2,1,3,2,4
3289189898,1,2,3,2,3,3,2,2,1,2
3428948629,1,2,3,2,3,2,2,1,2,3
3458886355,2,2,3,2,3,2,2,2,2,3
3881466599,2,2,3,3,3,2,2,1,2,2
3463723465,2,2,3,2,3,3,3,1,2,2
3342410340,3,2,4,2,2,2,2,2,2,3
3808941373,2,1,4,2,3,2,2,2,3,3
3314389060,2,1,4,1,4,2,1,1,3,4
3494236417,2,2,3,2,3,2,2,2,3,3
3336861167,2,2,3,2,3,2,2,1,2,2
3339582765,2,2,3,2,2,3,3,3,1,1
3391467959,1,1,3,1,4,2,2,1,3,3
3891217212,3,3,2,3,3,3,3,2,2,2
3505065648,2,1,4,2,3,2,2,2,2,3
3921884140,3,2,4,2,4,2,2,2,4,3
3483400286,2,2,3,2,3,2,3,2,3,2
3313233935,2,2,3,2,3,2,2,2,3,2
3664300311,1,2,3,2,4,2,2,2,3,2
3347443867,3,3,4,3,4,3,3,1,1,2
3247822380,2,2,3,3,3,2,2,1,2,2
3319425650,3,2,2,3,2,3,3,1,2,2
3465959424,1,1,4,1,4,1,1,4,4,4
3459372766,2,1,4,1,3,2,2,2,2,2
3334364444,2,2,3,2,4,3,2,1,2,2
3423734900,2,2,3,1,3,2,2,1,2,2
3386008212,3,2,2,3,3,3,3,1,2,2
3487202110,3,3,2,3,2,4,4,1,1,1
3891205133,3,2,3,3,3,3,3,1,2,2
3921625402,2,2,3,1,3,3,3,2,2,2
3450660188,1,1,4,2,3,2,2,2,4,4
3405320767,2,2,4,2,3,2,2,2,3,4
34601046526,1,1,3,1,3,2,2,2,2,3
3285486203,1,2,3,1,3,2,2,1,3,3
3382353432,2,2,4,2,3,2,2,2,3,4
3398621330,1,1,3,2,3,1,1,2,3,3
3347076857,1,1,2,2,2,1,2,2,2,2
3493865607,1,2,4,2,4,2,2,2,3,3
3420547059,3,2,2,3,2,3,3,1,1,1
3339880271,1,1,4,2,4,1,1,3,4,4
3337222747,4,4,2,3,1,4,3,1,1,1
3896211241,1,1,4,1,3,1,1,3,4,4
3667000898,1,2,4,2,3,2,2,2,2,2
3391627654,4,4,3,3,2,3,3,1,1,2
3406882472,2,2,4,1,4,1,1,2,4,4
3338029881,3,2,3,2,2,3,3,2,2,2
3931636103,1,2,4,1,4,1,1,2,3,3
3426549445,3,3,2,3,2,3,3,1,2,2
3463775011,3,3,2,3,3,2,2,2,1,2
3807607123,2,1,3,2,3,2,2,1,2,2
3927302099,2,2,2,2,2,3,3,1,2,2
3771015565,2,2,3,2,3,2,2,2,3,3
3497824506,3,3,2,3,2,4,4,2,1,1
3279312977,2,2,4,2,3,2,2,3,3,3
3388996332,2,2,3,2,3,2,2,3,3,2
3272161067,3,3,2,3,3,3,3,2,2,2
3316198240,1,2,3,2,4,2,2,3,3,3
3358378894,3,3,3,3,2,3,4,1,2,2
3382881255,2,3,3,3,3,2,2,1,2,2
3453934331,2,2,3,2,3,3,3,2,2,3
3208693225,2,2,3,2,3,2,3,1,2,2
3703403724,2,2,2,3,3,2,2,1,1,1
3470115511,3,2,2,3,2,3,3,2,2,2
3401031360,2,2,4,2,3,2,2,2,2,3
3661166007,3,2,3,2,3,3,2,2,3,3
3920921922,1,1,3,2,2,1,2,3,2,2
3335443937,2,2,3,2,3,3,3,1,2,2
3312571418,2,2,4,2,3,3,3,1,3,4
4389943231,3,3,2,3,2,3,3,2,2,2
3492366988,3,3,2,3,2,4,4,1,2,1
3382161024,1,2,3,2,2,2,2,2,3,3
3347892623,1,1,4,1,4,2,2,2,2,4
3427335142,2,2,4,2,3,1,2,3,4,4
3421843835,1,2,4,1,3,1,1,2,3,4
3802426721,2,2,2,2,3,3,3,2,2,3
3451263546,1,1,4,2,4,2,2,3,3,3
3911072456,2,2,3,3,3,3,3,3,2,2
3274685227,1,1,4,2,4,1,1,1,3,3
3913468055,2,2,4,2,3,2,2,1,2,2
3426894007,3,2,3,2,1,2,3,3,3,2
3317606566,4,4,1,4,1,4,4,2,1,1
3459300091,2,2,3,2,3,2,2,1,2,2
3396144039,2,2,4,2,3,2,2,1,3,3
3662879175,1,1,4,1,3,1,1,4,3,3
3318419640,1,2,3,2,3,2,1,2,2,3
3387752052,2,2,3,2,3,3,2,1,3,3
3716383664,3,1,3,1,1,2,2,2,3,3
3396105812,2,2,3,2,3,2,2,2,2,3
3479146532,1,1,4,1,4,1,1,2,4,4
3703103013,3,3,2,3,2,3,4,1,2,2
3349010634,1,1,4,1,4,1,1,2,4,3
3661375646,2,2,3,2,3,2,2,2,2,2
3401961300,1,1,4,1,1,1,2,1,2,3
3283564346,3,2,3,3,3,3,2,1,2,2
3483232737,3,2,3,2,3,2,2,2,3,3
3772765464,2,2,2,2,3,1,1,2,2,2
3456115892,2,2,4,2,2,3,3,1,1,2
3428976733,3,3,3,2,3,3,3,2,2,2
3394466675,2,2,3,2,3,3,2,2,3,2
3311032316,3,3,2,3,2,3,3,1,2,2
3478294460,3,3,3,3,2,4,3,2,3,3
3395963552,3,2,2,2,2,3,3,2,1,1
3333672280,3,2,2,2,1,3,3,1,2,1
3664548042,2,2,3,2,3,2,2,2,2,3
3282753348,1,1,4,1,4,1,2,2,4,4
3420200692,2,2,2,2,2,4,3,1,1,2
3397350077,1,1,4,2,3,1,1,3,3,3
3483195353,3,2,2,3,2,4,4,1,2,2
3336930797,3,2,3,3,2,3,2,2,3,3
3317545421,2,2,4,2,3,2,2,1,4,3
3467559184,4,2,3,2,3,2,3,2,3,2
3342177251,2,2,3,2,4,2,2,2,2,3
3334971564,2,2,3,3,3,3,2,1,2,2
3311919255,2,2,3,2,3,2,2,2,3,3
3489927284,2,1,4,2,4,2,3,2,3,3
3458983574,1,1,4,1,4,2,2,3,4,4
3337487200,1,1,4,1,4,1,1,3,4,4
3892305104,2,2,2,2,3,3,4,2,2,2
3341420106,2,2,2,2,3,3,3,2,2,2
3497763400,2,2,3,2,2,3,2,2,2,3
33783670400,2,1,3,2,3,2,2,1,3,3
3925461159,3,2,2,2,2,4,3,1,2,2
3401662999,2,2,3,2,4,2,2,2,2,2
3403943604,2,1,3,2,4,3,2,2,3,3
3806950650,1,2,4,2,4,2,2,4,3,3
3883746006,4,2,4,2,3,2,2,1,2,3
3473918493,2,2,3,2,3,3,2,2,3,2
3485956383,2,2,3,2,3,2,2,2,2,3
3401270582,1,1,4,1,4,1,1,4,4,4
3478840406,2,2,3,2,3,3,3,2,2,2
3920224683,2,2,3,2,3,2,1,1,2,2
3318067046,2,2,3,2,4,2,2,2,3,3
3387517461,3,1,4,1,4,1,1,2,4,4
3667272818,3,2,3,2,3,3,3,3,2,2
3339796982,3,2,2,3,3,3,3,1,2,2
3774219750,2,2,4,2,4,2,2,2,3,3
3402664341,2,2,3,2,2,3,3,2,3,3
3343693017,2,2,3,2,3,3,2,1,3,3
3427812776,2,2,3,2,3,3,2,2,2,2
3311514507,2,2,2,2,2,3,2,1,1,1
3663707404,2,2,3,2,3,2,2,2,2,3
3347117521,2,2,3,2,3,2,2,2,2,3
3314994466,1,1,3,1,3,2,2,2,3,3
3334542104,2,2,3,2,3,3,3,2,3,3
3452198846,1,2,4,2,4,2,1,3,2,3
3384230549,2,2,3,2,3,2,2,2,2,2
3935500366,2,1,4,2,4,2,2,3,3,4
3664904129,1,1,3,2,4,2,2,3,3,3
3333087407,2,2,4,2,3,2,1,2,3,3
3388833022,2,2,3,3,2,3,2,2,2,2
3486981778,2,2,3,2,3,2,2,2,2,2
3313224759,3,2,2,2,3,3,3,1,1,2
