user_id,self_kindness,common_humanity,mindfulness,self_judgment,isolation,over_identification,scs_total_score
3334247770,16,18,17,22,6,10,91
3294886377,17,14,13,18,15,19,70
3487119790,15,11,13,14,16,16,71
3346121179,10,10,13,20,16,11,64
3703107268,11,8,10,18,9,12,68
3208909600,10,10,14,19,15,16,62
3317719173,7,11,10,24,15,16,51
3920062595,12,11,12,17,15,16,65
3337769377,11,11,12,20,18,13,61
3278582193,11,7,8,12,16,16,60
3703293103,7,9,6,15,13,9,63
3331208683,24,17,18,7,9,12,109
3444258212,23,8,11,7,4,4,105
3890065938,5,9,6,25,20,20,33
3469730627,18,10,11,13,13,16,75
3311128391,21,18,18,13,5,7,110
3270624644,16,15,15,16,15,12,81
3280632529,6,7,9,19,17,12,52
3313382094,22,6,9,17,17,15,66
3460591283,6,6,4,17,16,11,50
3809075395,16,7,11,19,15,15,63
3332440775,8,11,13,13,14,5,78
3398964382,25,20,20,5,4,4,130
3348106800,14,11,9,13,8,10,81
3469464166,12,11,9,12,12,14,72
3392465292,11,12,10,18,18,15,60
3335607912,7,6,9,23,15,16,46
3669301160,16,10,12,16,11,9,80
3314455802,13,10,11,21,9,11,71
3336846971,11,10,13,13,11,10,78
3296113480,16,13,16,18,13,11,81
3921981520,7,13,5,22,20,20,41
3334741408,13,9,11,16,11,9,75
3665355105,6,8,7,21,13,12,53
3420798804,10,12,9,19,12,14,64
3383061603,19,14,16,11,5,9,102
3662125608,12,11,15,20,13,14,69
3392736399,8,8,6,10,9,7,74
3493224825,21,17,18,17,14,8,95
3246292649,14,13,12,19,17,16,65
3665244090,22,19,18,11,11,14,101
3389126365,19,9,10,20,19,18,59
3938867612,7,12,11,18,15,13,62
3407230127,8,11,12,24,15,13,57
3895730674,14,13,14,18,16,13,72
3663738920,9,6,7,24,20,20,36
3888185906,20,18,17,12,12,13,96
3395927320,17,10,9,10,9,8,87
3491070201,22,17,15,10,7,12,103
3334297641,19,12,13,6,7,6,103
3925598264,10,10,7,20,16,15,54
3331478533,10,9,12,21,19,17,52
3888281971,17,14,11,16,15,11,78
3421895411,23,14,18,5,4,8,116
3467014707,17,12,12,21,16,16,66
3277379787,16,12,13,5,9,7,98
3920884364,18,16,11,10,7,11,95
3662258943,12,8,12,18,15,8,69
3311506647,10,5,8,10,15,15,61
3928102467,19,15,14,15,7,11,93
3348921243,5,4,4,5,4,4,78
3423315515,11,11,14,15,13,6,80
3475648095,13,16,10,18,8,16,75
3318207859,16,18,11,14,13,11,85
3394341908,19,10,16,12,9,8,94
3490815665,17,8,13,7,12,9,88
3271273161,20,14,16,17,11,10,90
3493727344,16,14,11,14,9,10,86
3492432569,7,5,5,24,14,18,39
3311815277,8,8,11,25,20,20,40
3662895706,6,6,9,22,16,18,43
3669722811,12,14,12,17,18,18,63
3806823362,15,14,14,11,8,11,91
3703258744,11,9,12,19,13,13,65
3385930632,14,10,10,17,15,12,68
3467474349,17,13,10,14,10,16,78
3668615349,23,16,19,9,4,5,118
3493200977,17,10,13,10,11,7,90
3779569933,15,6,7,8,12,11,75
3887744678,8,7,8,25,18,19,39
3383928947,20,16,19,15,7,8,103
3472369691,17,14,10,17,17,12,73
3663995281,19,14,16,16,16,13,82
3313450012,13,7,9,17,17,15,58
3349104292,19,16,16,13,6,5,105
3895555996,15,11,11,14,11,10,80
3883816051,20,12,11,24,19,19,59
3477588121,14,4,7,6,8,4,85
3421018235,12,6,13,20,18,14,57
3280004109,20,16,15,8,6,5,110
3289189898,9,7,9,19,13,17,54
3428948629,18,11,12,17,14,16,72
3458886355,14,19,16,18,13,7,89
3881466599,8,8,8,21,20,19,42
3463723465,10,11,8,21,16,17,53
3342410340,16,16,12,13,15,11,83
3808941373,21,15,15,10,13,9,97
3314389060,17,12,16,9,4,7,103
3494236417,19,14,16,22,13,16,76
3336861167,14,12,11,19,13,18,65
3339582765,10,8,11,17,16,14,60
3391467959,11,11,6,25,20,19,42
3891217212,10,6,12,13,16,6,71
3505065648,18,16,14,15,12,11,88
3921884140,15,11,15,13,10,9,87
3483400286,7,14,9,20,12,14,62
3313233935,19,15,14,10,11,7,98
3664300311,17,13,12,18,12,11,79
3347443867,6,9,8,22,17,16,46
3247822380,15,9,11,19,16,17,61
3319425650,6,8,13,24,20,18,43
3465959424,19,11,15,12,7,6,98
3459372766,11,8,8,15,12,13,65
3334364444,14,16,13,17,17,18,69
3423734900,10,8,11,21,14,20,52
3386008212,9,7,10,18,14,15,57
3487202110,6,11,9,21,17,19,47
3891205133,13,8,8,23,19,17,48
3921625402,8,6,11,19,10,11,63
3450660188,22,18,14,10,9,13,100
3405320767,20,16,16,10,6,9,105
34601046526,14,16,16,17,10,14,83
3285486203,14,12,14,9,11,5,93
3382353432,9,12,20,6,5,5,103
3398621330,21,11,12,8,4,12,98
3347076857,18,18,16,13,17,16,84
3493865607,17,18,15,17,8,11,92
3420547059,6,8,9,24,17,19,41
3339880271,25,20,20,5,4,11,123
3337222747,5,6,5,24,20,15,35
3896211241,23,14,20,5,12,4,114
3667000898,20,20,18,16,14,12,94
3391627654,11,9,10,16,6,13,73
3406882472,15,8,11,15,7,12,78
3338029881,12,8,10,23,18,18,49
3931636103,20,15,16,8,4,5,112
3426549445,9,11,13,21,17,13,60
3463775011,13,11,11,13,11,10,79
3807607123,18,11,15,18,16,17,71
3927302099,7,8,9,19,12,12,59
3771015565,9,12,10,23,11,19,56
3497824506,10,14,10,20,15,13,64
3279312977,16,12,12,14,8,13,83
3388996332,21,15,16,9,11,7,103
3272161067,10,7,10,18,17,17,53
3316198240,10,11,12,19,12,10,70
3358378894,8,8,8,16,15,9,62
3382881255,13,8,10,20,17,15,57
3453934331,5,4,8,24,13,19,39
3208693225,10,12,13,19,15,14,65
3703403724,11,17,16,20,11,19,72
3470115511,6,6,9,25,16,13,45
3401031360,13,10,14,19,13,16,67
3661166007,13,11,11,20,11,12,70
3920921922,21,11,13,9,10,15,89
3335443937,12,13,12,19,16,15,65
3312571418,5,16,8,25,20,20,42
4389943231,10,14,12,19,17,16,62
3492366988,7,13,13,24,17,15,55
3382161024,12,11,17,18,15,13,72
3347892623,13,9,7,15,14,15,63
3427335142,17,7,9,7,6,5,93
3421843835,22,15,16,7,7,4,113
3802426721,11,14,9,24,16,18,54
3451263546,15,9,15,8,6,10,93
3911072456,15,12,16,12,11,6,92
3274685227,16,18,14,17,10,9,90
3913468055,13,9,14,20,14,17,63
3426894007,13,14,12,12,10,10,85
3317606566,5,4,6,25,20,18,30
3459300091,10,9,11,16,12,12,68
3396144039,13,17,14,19,13,14,76
3662879175,22,16,18,5,7,6,116
3318419640,20,16,13,17,12,15,83
3387752052,15,10,12,20,14,9,72
3716383664,17,13,14,19,16,13,74
3396105812,15,8,12,16,16,15,66
3479146532,22,18,18,7,5,4,120
3703103013,11,13,14,20,15,16,65
3349010634,21,12,20,9,4,8,110
3661375646,12,13,17,19,13,9,79
3401961300,17,19,15,20,13,14,82
3283564346,13,12,13,19,19,13,65
3483232737,13,8,10,18,15,14,62
3772765464,10,8,11,11,6,9,81
3456115892,16,14,15,20,14,18,71
3428976733,10,10,12,18,16,12,64
3394466675,11,10,8,15,16,14,62
3311032316,10,9,8,21,15,17,52
3478294460,8,15,6,19,13,10,65
3395963552,8,7,12,22,18,18,47
3333672280,8,11,11,22,16,18,52
3664548042,8,11,10,16,13,15,63
3282753348,16,14,15,18,12,15,78
3420200692,6,14,13,24,16,20,51
3397350077,22,16,15,10,7,7,107
3483195353,5,4,5,21,19,17,35
3336930797,11,7,11,24,19,18,46
3317545421,18,19,14,11,12,14,92
3467559184,16,14,11,18,15,12,74
3342177251,10,10,9,18,10,15,64
3334971564,16,13,13,18,15,17,70
3311919255,18,15,15,12,9,10,95
3489927284,16,16,14,14,11,14,85
3458983574,13,10,11,11,12,14,75
3337487200,19,9,16,5,4,5,108
3892305104,11,12,11,21,16,13,62
3341420106,9,12,9,24,17,17,50
3497763400,16,15,16,15,16,12,82
33783670400,11,11,11,17,12,12,70
3925461159,5,8,4,25,20,18,32
3401662999,15,11,10,17,16,13,68
3403943604,16,14,12,16,13,9,82
3806950650,9,12,9,15,10,9,74
3883746006,16,11,14,18,11,12,78
3473918493,18,11,13,15,13,14,78
3485956383,14,13,12,15,11,6,85
3401270582,17,9,16,9,6,7,98
3478840406,8,8,13,20,12,9,66
3920224683,9,10,9,21,16,13,56
3318067046,19,15,12,15,15,14,80
3387517461,21,17,13,12,9,10,98
3667272818,8,13,13,18,14,16,64
3339796982,13,11,14,19,15,12,70
3774219750,13,8,12,15,13,12,71
3402664341,11,11,14,22,10,12,70
3343693017,13,10,12,20,12,16,65
3427812776,10,13,7,24,13,15,56
3311514507,16,9,11,16,20,16,62
3663707404,10,12,8,20,14,14,60
3347117521,12,13,15,21,13,14,70
3314994466,12,10,13,17,12,10,74
3334542104,16,12,14,19,20,16,65
3452198846,14,11,12,10,10,7,88
3384230549,17,10,13,18,14,13,73
3935500366,16,11,14,15,9,8,87
3664904129,21,16,16,13,15,17,86
3333087407,15,16,13,17,10,11,84
3388833022,15,12,10,17,8,11,79
3486981778,15,12,11,16,12,12,76
3313224759,9,5,7,19,19,18,43
